Entity Information,Initial Filing Date,Status,Entity Type,Formed In,Agent
"AULT & ASSOCIATES, INC. (2593547)",01/30/2006,Terminated,Stock Corporation - CA - General,CALIFORNIA,NEIL  LEIMAN
"AULT & ASSOCIATES, INC. (3521461)",11/16/2012,Terminated,Stock Corporation - CA - General,CALIFORNIA,NEIL LEIMAN
"AULT & AULT APPRAISERS, INC. (840868)",03/13/1978,Terminated,Stock Corporation - CA - General,CALIFORNIA,RONALD W AULT
"AULT & COMPANY, INC. (4240986)",02/08/2019,Terminated,Stock Corporation - Out of State - Stock,DELAWARE,MILTON C AULT III
"AULT & ROBINSON, APC (2479900)",12/24/2002,Suspended - FTB/SOS,Stock Corporation - CA - Professional,CALIFORNIA,DAVID W AULT
AULT & WIBORG CORPORATION (194625),04/12/1944,Terminated,Stock Corporation - Out of State - Stock,OHIO,
AULT & WIBORG CORPORATION (70167680),07/10/1936,Terminated,Legacy Corporation,OHIO,
"Ault Alliance, Inc. (4113631)",02/12/2018,Active,Stock Corporation - Out of State - Stock,DELAWARE,DAVID J KATZOFF
AULT AND MANSFIELD PETROLEUM COMPANY (70011035),06/07/1885,Suspended - FTB,Legacy Corporation,CALIFORNIA,
"AULT ASSOCIATES, LTD. (827032)",09/19/1977,Suspended - FTB,Stock Corporation - CA - General,CALIFORNIA,CHARLES E AULT
Ault Construction Co. LLC (202462710219),06/14/2024,Active,Limited Liability Company - CA,CALIFORNIA,Christopher Jordan Ault
AULT CUSTODIAL SERVICE (1541064),09/09/1986,Terminated,Stock Corporation - CA - General,CALIFORNIA,RICHARD A AULT
Ault Disruptive Technologies Corporation (5400755),12/29/2022,Terminated,Stock Corporation - Out of State - Stock,DELAWARE,David J Katzoff
"AULT ELECTRIC, INC. (2401238)",11/08/2001,Terminated,Stock Corporation - CA - General,CALIFORNIA,WILLIAM  VAN DOREN
AULT ENGINEERING INC. (2344783),05/23/2001,Terminated,Stock Corporation - CA - General,CALIFORNIA,REBECCA YVONNE SANDVALL
